Temperature (°C),Humidity (%)
29.40,62.40
29.40,62.40
29.40,62.40
29.40,62.40
29.40,62.40
29.40,62.40
29.40,62.50
29.40,62.50
29.40,62.50
29.50,62.50
29.40,62.40
29.40,62.50
29.50,62.50
29.50,62.60
29.50,62.60
29.50,62.60
29.50,62.60
29.50,62.70
29.50,62.70
29.50,62.80
29.50,62.70
29.50,62.90
29.50,62.90
29.50,62.90
29.50,63.00
29.50,62.90
29.50,62.90
29.40,62.80
29.50,62.90
29.50,62.90
29.50,62.90
29.50,63.00
29.50,63.00
29.50,63.00
29.50,63.00
29.50,62.90
29.40,62.90
29.40,62.80
29.40,62.80
29.50,62.80
29.40,62.80
29.40,62.80
29.40,62.90
29.40,62.90
29.40,62.90
29.40,62.90
29.40,63.00
29.40,63.00
29.40,63.00
29.40,63.00
29.40,63.10
29.40,63.10
29.40,63.20
29.40,63.20
29.40,63.20
29.40,63.30
29.40,63.40
29.50,63.30
29.40,63.30
29.40,63.40
29.40,63.40
29.40,63.40
29.40,63.50
29.40,63.50
29.40,63.50
29.50,63.50
29.40,63.60
29.40,63.60
29.40,63.60
29.40,63.70
29.40,63.70
29.40,63.70
29.40,63.70
29.40,63.60
29.40,63.70
29.50,63.80
29.40,63.80
29.40,63.70
29.40,63.80
29.40,63.80
29.50,63.80
29.40,63.90
29.40,63.90
29.50,63.90
29.40,63.80
29.50,63.90
29.50,63.90
29.50,63.90
29.50,64.00
29.40,64.00
29.40,64.00
29.50,63.90
29.40,64.00
29.50,64.00
29.40,64.00
29.50,64.00
29.50,64.10
29.50,64.00
29.40,64.10
29.50,64.20
29.40,64.20
29.50,64.20
29.50,64.30
29.50,64.20
29.50,64.30
29.50,64.30
29.50,64.30
29.50,64.30
29.50,64.30
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.30
29.50,64.30
29.50,64.30
29.50,64.40
29.50,64.40
29.50,64.30
29.50,64.30
29.50,64.40
29.50,64.30
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.30
29.50,64.40
29.50,64.30
29.50,64.40
29.50,64.30
29.50,64.40
29.50,64.40
29.50,64.30
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.40
29.50,64.40
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.40
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.40
29.50,64.50
29.50,64.40
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.50
29.50,64.60
29.50,64.50
29.50,64.50
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.70
29.50,64.60
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.80
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.70
29.50,64.80
29.50,64.70
29.50,64.80
29.50,64.80
29.50,64.80
29.50,64.70
29.50,64.70
29.50,64.80
29.50,64.70
29.50,64.80
29.50,64.80
29.50,64.70
29.50,64.80
29.50,64.70
29.50,64.70
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.60
29.50,64.70
29.50,64.60
29.50,64.60
29.50,64.60
29.60,64.70
29.60,64.70
29.60,64.70
29.50,64.70
29.60,64.70
29.60,64.70
29.60,64.70
29.60,64.60
29.60,64.60
29.60,64.60
29.60,64.60
29.60,64.60
29.60,64.60
29.60,64.60
29.60,64.60
29.60,64.60
29.60,64.60
29.60,64.50
29.60,64.50
29.60,64.50
29.60,64.50
29.60,64.40
29.60,64.40
29.60,64.40
29.60,64.40
29.60,64.40
29.60,64.40
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.40
29.60,64.40
29.60,64.40
29.60,64.40
29.60,64.40
29.60,64.30
29.60,64.40
29.60,64.40
29.60,64.30
29.60,64.40
29.60,64.40
29.60,64.30
29.60,64.30
29.60,64.40
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.20
29.60,64.30
29.60,64.20
29.60,64.20
29.60,64.30
29.60,64.20
29.60,64.30
29.60,64.20
29.60,64.30
29.60,64.20
29.60,64.20
29.60,64.20
29.60,64.10
29.60,64.10
29.60,64.20
29.60,64.20
29.60,64.20
29.60,64.10
29.60,64.20
29.60,64.20
29.60,64.20
29.60,64.20
29.60,64.20
29.60,64.30
29.60,64.20
29.60,64.30
29.60,64.30
29.60,64.20
29.60,64.20
29.60,64.30
29.60,64.30
29.60,64.40
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.20
29.60,64.30
29.60,64.20
29.60,64.20
29.60,64.20
29.60,64.30
29.60,64.30
29.60,64.20
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.40
29.60,64.40
29.60,64.40
29.60,64.40
29.60,64.40
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.20
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.70,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.70,64.20
29.60,64.20
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.60,64.30
29.70,64.30
29.60,64.30
29.70,64.30
29.60,64.30
29.70,64.30
29.70,64.30
29.70,64.40
29.70,64.30
29.70,64.20
29.70,64.30
29.70,64.30
29.70,64.30
29.70,64.30
29.70,64.30
29.70,64.30
29.70,64.30
29.70,64.20
29.70,64.20
29.70,64.30
29.70,64.20
