Temperature (°C),Humidity (%)
31.50,59.30
31.50,59.30
31.50,59.30
31.50,59.20
31.50,59.20
31.50,59.20
31.50,59.10
31.50,59.10
31.60,59.00
31.60,58.90
31.60,59.00
31.60,58.90
31.60,58.90
31.60,58.80
31.60,58.80
31.60,58.70
31.60,58.70
31.60,58.60
31.60,58.70
31.70,58.70
31.70,58.60
31.70,58.60
31.70,58.50
31.70,58.50
31.70,58.40
31.70,58.40
31.70,58.40
31.70,58.30
31.70,58.30
31.70,58.30
31.80,58.30
31.80,58.30
31.80,58.20
31.80,58.20
31.80,58.10
31.80,58.20
31.80,58.10
31.80,58.10
31.80,58.10
31.80,58.00
31.80,58.00
31.80,57.90
31.90,57.90
31.90,57.90
31.90,57.90
31.90,57.90
31.90,57.90
31.90,57.80
31.90,57.80
31.90,57.80
31.90,57.70
31.90,57.70
31.90,57.70
31.90,57.70
31.90,57.70
31.90,57.70
31.90,57.60
31.90,57.50
31.90,57.60
32.00,57.60
31.90,57.50
32.00,57.50
31.90,57.50
31.90,57.50
31.90,57.40
32.00,57.40
32.00,57.40
32.00,57.40
32.00,57.40
32.00,57.40
32.00,57.30
32.00,57.20
32.00,57.30
32.00,57.30
32.00,57.20
32.00,57.20
32.00,57.20
32.00,57.20
32.00,57.20
32.00,57.10
32.00,57.10
32.00,57.10
32.00,57.10
32.00,57.00
32.10,57.00
32.00,57.00
32.00,57.00
32.00,57.00
32.00,57.00
32.00,57.00
32.00,57.00
32.00,57.00
32.10,57.00
32.10,57.00
32.10,57.00
32.10,56.90
32.10,56.90
32.00,56.90
32.10,56.90
32.10,56.90
32.10,56.90
32.10,56.90
32.00,56.90
32.10,56.90
32.00,56.90
32.10,56.80
32.00,56.90
32.10,56.90
32.10,56.90
32.10,56.90
32.10,56.90
32.10,56.90
32.00,56.90
32.00,56.90
32.00,56.80
32.10,56.80
32.10,56.80
32.10,56.80
32.00,56.70
32.00,56.60
32.10,56.70
32.10,56.80
32.00,56.70
32.10,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.10,56.80
32.10,56.70
32.00,56.70
32.00,56.70
32.10,56.70
32.10,56.80
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
